0,1,2,3,4,5,6,7,8,9
0.20816883,-0.11457657,0.011263346,0.178941,0.104731604,-0.19774747,-0.09833749,0.16832228,-0.06933507,0.006544407
-0.17346884,-0.14787784,-0.12730382,0.005773468,0.21580546,-0.13443793,-0.209943,0.07573903,-0.073460095,-0.06869913
0.049841776,-0.17602713,0.20016947,0.20434734,-0.25368848,0.13319418,-0.21831149,0.054087307,-0.23263097,0.047743514
0.17281495,-0.20658244,0.00024632228,0.09541101,0.17330042,0.19574864,-0.16003637,-0.09832344,-0.07530957,0.12507926
-0.053604044,-0.07705325,-0.09020442,-0.13118501,0.06008845,-0.13001516,-0.16085951,-0.089377485,-0.14381728,0.042936206
-0.12706815,0.22939508,0.2362159,0.026505215,-0.03988061,0.15794326,0.19914718,-0.20690508,0.007259307,0.21628422
0.02689748,-0.16632962,-0.1618059,-0.122474775,0.049066473,0.0063017057,-0.067097016,-0.000592593,0.177373,-0.13610423
-0.0915132,-0.14851677,0.19904846,0.02362909,0.035997927,0.061540943,0.08587118,0.054598067,0.15721112,0.17052469
-0.009588186,0.05659143,-0.05637202,-0.07853304,-0.0783754,0.059942264,-0.03542568,-0.16298823,-0.017667936,0.11110807
0.16693972,0.15336896,-0.11256429,-0.009883305,0.034466084,-0.070421875,-0.12816472,-0.098281406,-0.18785335,-0.106077835
0.1646625,0.22550103,-0.19314645,-0.059886843,0.14632167,-0.0799688,0.19269142,0.15721995,-0.14752023,-0.15408947
0.19779928,0.10481552,-0.035257135,0.022659564,-0.1805009,0.0169225,-0.12472869,0.03352932,-0.18993336,0.15585646
0.11739518,0.08243896,0.06878642,0.08686379,0.056826647,0.12173967,0.23791832,-0.18393172,0.032835137,-0.08167735
0.14897035,-0.20475674,0.04579148,0.06731884,0.017805055,0.049969014,0.09765888,-0.0017904651,0.16482726,0.22128476
-0.18193875,-0.14114517,0.06658376,0.19955252,0.15444258,-0.07415217,-0.14706911,-0.12727001,-0.060379818,-0.009639909
0.043520674,0.117916025,0.09931678,-0.02976411,-0.08150579,0.06427517,0.19549686,-0.106258236,-0.007732423,0.163656
0.15482402,-0.17521322,0.12620586,-0.16213602,-0.050085686,-0.15763894,0.14623527,-0.023258388,0.14561705,-0.17847306
-0.072032586,0.1275276,-0.07744227,0.08148757,0.028458316,-0.011732165,0.20336099,-0.028335394,-0.12559704,0.07758111
-0.20148368,0.03451132,0.18086341,0.017717082,-0.10906261,0.011878204,0.019088268,-0.14271234,-0.21715625,0.00015400743
0.048404653,0.07861277,0.061917167,-0.004328509,0.14952685,-0.14775415,0.18122701,-0.059679132,0.024057189,-0.0032040789
-0.13631956,-0.19212884,-0.18349491,0.12912403,-0.07605332,-0.22549106,-0.16441865,-0.07935555,0.108488366,-0.20913038
-0.05531735,0.10513743,-0.080302596,0.2082933,-0.076736696,0.23489332,0.0005096311,0.020542659,-0.19281131,-0.18415642
0.10956729,0.0662619,0.03116637,0.066286765,-0.10648331,0.12549487,-0.07584284,0.014062327,-0.07040644,0.20233543
0.055031702,0.1255057,0.18477316,0.20374723,-0.011844056,-0.09918015,0.047582854,0.07229742,0.14659055,0.11219428
0.11714991,0.03771494,-0.18324,0.10167714,-0.21216583,-0.024421753,0.07026592,-0.01774523,-0.17765003,-0.0074628796
0.0645852,-0.22800924,0.18164958,0.008207577,0.21107058,0.011687935,0.12918675,0.034079038,0.1684252,0.09436424
-0.020645607,0.0041258032,-0.16135396,0.10921652,0.2086848,0.19983469,-0.17291692,0.1654232,0.09257123,-0.09227217
-0.15209764,-0.0745232,-0.21264008,-0.0020778812,-0.024537839,0.081069335,-0.14749637,0.0170313,0.021737859,0.054196242
0.04786473,0.17515819,0.009819202,0.10736951,0.09554494,-0.09894525,-0.10185068,0.20089401,0.21106234,-0.02865143
0.081471205,0.19840962,-0.21134299,-0.05266242,-0.017851291,-0.132001,0.1340008,0.049688213,0.0999779,-0.1315996
-0.16722342,0.049567394,-0.06514929,0.1159373,0.09708739,-0.17103107,-0.11030933,-0.06787282,-0.19093227,0.07319561
0.18979402,0.09813738,0.19069308,0.15658228,0.11516955,-0.18968995,-0.09140068,0.10277705,-0.08805656,-0.11383756
0.0559128,0.22502483,0.17714475,-0.08779514,-0.13186513,-0.18751808,0.18308936,0.16089363,0.23576742,0.035950344
-0.059175223,-0.049132682,-0.20118779,-0.06650457,0.10820939,0.08068579,0.06157269,0.10817234,-0.10725599,0.09565719
-0.20273882,0.19238159,0.08316396,-0.08984465,-0.12062078,-0.13353036,-0.19792809,-0.15320951,-0.13848859,0.03063819
-0.18555324,0.17071232,-0.15917522,0.09397389,0.14168987,0.010448109,-0.0077413614,-0.14328107,-0.079267,-0.043093238
0.12230728,-0.07325173,0.0877826,0.22677085,0.18986382,0.094473444,0.1458256,-0.21730043,0.1267894,-0.12833443
-0.144612,0.12353847,0.03953992,0.04970558,-0.053559043,-0.028444074,-0.1329845,0.17824903,-0.21310005,0.17291144
0.12705667,-0.0957301,0.23878989,-0.084203556,0.08519312,-0.18926078,-0.035884988,-0.116206914,0.11644603,-0.10232406
0.1887525,-0.09380255,-0.15283331,0.0051523265,0.12873496,0.17809366,-0.067069024,-0.14532138,0.0071806326,0.21149984
-0.10905781,0.2091043,-0.004056838,-0.023586944,0.015515962,0.102641195,0.05224125,-0.04239031,0.023952382,0.10717476
0.20325834,-0.090895675,0.059406493,-0.0047044586,0.045065105,-0.05593974,-0.0041462467,-0.1121842,0.17134891,0.12140454
-0.13765597,0.108357936,-0.10420776,-0.17736125,0.015916828,0.0030747969,-0.24314372,0.12807551,0.034061167,-0.1405885
0.024445564,0.020496165,-0.07387728,-0.13691199,0.016907023,-0.0010472288,-0.20993213,0.22047396,-0.00433074,-0.04381371
0.03187665,-0.09512719,0.0041325446,0.20799384,0.12779069,0.21050274,-0.20807359,0.027996145,-0.19443358,0.21418545
0.1592015,-0.13434175,-0.19226512,-0.17880139,0.012368184,0.21940988,0.14116848,-0.041640382,-0.22498608,-0.029529616
-0.21523872,0.048691217,-0.06261162,0.052146412,-0.15490724,0.20744221,-0.0950078,-0.0032828546,-0.010560602,-0.18075666
